rank,document_id,project_folder,filename,adviesbureau_hint,jaar,documenttype,pagina_s,nen2767_taal,rationale
1,DOC-018,Maldenhof,9261_vvem_mop_01-03-2023_Pro VVE Beheer B.V._851361.pdf,Pro VVE Beheer B.V.,2023,Standaard MOP-rapport,20,ja,"Volledig standaard MJOP met conditiescores/NEN2767 - goede baseline voor het schema"
2,DOC-017,Maldenhof,2026_Meerjarenonderhoudsplan_VvE 9261 Maldenhof 240-296.pdf,onbekend (opvolger?),2026,MJOP-actualisatie (zelfde pand als #1),15,nee,"Zelfde pand 3 jaar later - laat zien hoe een actualisatie/nieuw format eruitziet t.o.v. #1, en test conflict-detectie tussen twee versies van hetzelfde gebouw"
3,DOC-022,Alkmaarstraat 1-83,9543_vvem_mop_14-01-2022_Pro VVEBeheer B.V._626720.pdf,Pro VVE Beheer B.V.,2022,Standaard MOP-rapport,27,ja,"Zelfde adviesbureau als #1 maar ander pand/grootte - test of extractie robuust is voor hetzelfde bureau over meerdere panden"
4,DOC-013,J.P. Heijestraat,9690_vvem_mop_v_15-03-2018_Innax_hele_schil_376215.pdf,Innax,2018,Standaard MOP-rapport (oudste in de set),41,ja,"Ander adviesbureau (Innax i.p.v. Pro VVE Beheer), oudste en langste document - grootste layoutverschil"
5,DOC-011,J.P. Heijestraat,2026_Meerjarenonderhoudsplan_VvE 9690.pdf,onbekend,2026,MJOP-actualisatie (zelfde pand als #4),26,nee,"Zelfde pand als #4, 8 jaar later - test grote tijdspanne-actualisatie en nieuwer format zonder expliciete NEN2767-taal"
6,DOC-014,Zomerdijkstraat 14,Meerjarenonderhoudsplan 2023_VvE Zomerdijkstraat 14.pdf,onbekend,2023,Standaard MOP-rapport (enkelvoudig - geen extra bijlagen),17,nee,"Eenvoudigste/schoonste losstaande casus zonder offertes of losse bijlagen - goede minimale baseline"
7,DOC-015,Mauritstaete,Actualisatie MOP 2023 met bijlage.pdf,onbekend,2023,MJOP-actualisatie (met bijlage),26,ja,"Ander type document: expliciete 'actualisatie' i.p.v. nieuw MJOP, met bijlage - test hoe extractie omgaat met actualisatie-specifieke taal"
8,DOC-005,VVe st. jacobstraat,Hoofd.pdf,DLR-Adviesgroep (uit mapcontext),2025,MJOP-hoofddocument van gesplitst plan (winkels+woningen+lift),15,ja,"Uniek in de set: gemengd winkel/woon-complex met apart lift-MJOP, hoofddocument verwijst naar losse deeldocumenten - grootste structurele afwijking"
9,DOC-010,VVe st. jacobstraat,Woningen.pdf,DLR-Adviesgroep (uit mapcontext),2025,MJOP-deeldocument (woongedeelte),30,ja,"Deeldocument bij #8 - test of extractie de relatie tussen hoofd- en deeldocumenten en de meeste conditiescores in de set aankan"
10,DOC-012,J.P. Heijestraat,2026_Overzicht 15 - Jarenplan (Gedetailleerd)_VvE 9690.xls,onbekend,2026,Jarenplan-overzicht (spreadsheet, geen PDF),,n.v.t. (spreadsheet),"Enige spreadsheet-formaat in de set i.p.v. PDF-tekst - test extractie uit gestructureerde tabeldata i.p.v. vrije tekst"
